engine_temp,engine_rpm,oil_level,vehicle_mileage,vibration,health_score
82.5,3854,66.8,183172,2.57,50
117.0,1463,24.0,20319,0.31,50
103.9,4553,60.4,161757,0.19,45
95.9,3708,69.4,114637,0.67,60
69.4,3655,99.7,23214,0.98,85
69.4,4594,7.9,52861,0.28,60
63.5,3282,13.7,126122,1.96,40
112.0,1213,12.3,96649,1.37,50
96.1,2472,42.8,49655,1.3,75
102.5,3754,83.1,188175,0.52,45
61.2,3973,85.2,119739,1.37,85
118.2,3791,75.0,101401,1.23,60
109.9,1167,90.2,111892,1.21,75
72.7,4733,35.7,9657,0.73,60
70.9,844,13.4,135592,0.37,60
71.0,620,10.5,116585,0.86,75
78.3,993,86.0,167556,2.04,65
91.5,4414,74.4,29577,0.31,85
85.9,2655,71.4,178671,1.21,85
77.5,4115,37.3,30558,1.59,60
96.7,2975,41.1,107146,2.89,55
68.4,2510,96.0,132282,2.55,65
77.5,889,11.1,63807,2.76,55
82.0,3158,78.5,184044,2.48,65
87.4,960,34.4,115056,1.81,55
107.1,2222,8.7,174376,2.6,15
72.0,4914,75.5,98235,1.74,85
90.9,4694,36.4,2843,1.14,60
95.5,3053,73.6,19834,1.18,75
62.8,2615,72.2,93263,1.74,100
96.5,2640,55.8,183742,2.45,40
70.2,2644,78.9,110850,0.49,100
63.9,3400,60.2,83064,0.21,100
116.9,3570,32.2,52278,2.39,15
117.9,1431,74.7,40428,1.98,55
108.5,2393,61.0,65553,2.48,55
78.3,4292,6.2,111924,2.93,40
65.9,2391,90.7,71535,0.83,100
101.1,3441,56.8,176458,0.66,60
86.4,2754,87.5,123825,1.09,85
67.3,1180,88.9,165127,2.65,65
89.7,3453,47.3,147723,0.14,85
62.1,2836,53.2,33202,0.13,100
114.6,4776,44.5,182259,0.73,45
75.5,2755,47.7,166337,1.19,85
99.8,1944,90.0,39208,0.98,75
78.7,945,79.9,38805,2.49,80
91.2,2486,17.0,171646,2.1,40
92.8,1154,63.0,52360,2.53,80
71.1,4370,99.6,107214,1.21,85
118.2,4997,61.6,176010,1.83,25
106.5,799,79.7,179596,1.59,60
116.4,3540,78.1,178587,1.48,45
113.7,4090,38.3,110168,0.94,35
95.9,906,40.3,90852,2.16,55
115.3,3675,73.8,71231,1.62,60
65.3,2256,52.5,79414,0.33,100
71.8,3292,59.2,106264,0.1,100
62.7,2364,72.7,4886,0.16,100
79.5,875,78.9,3771,0.32,100
83.3,3961,30.8,96183,1.18,60
76.3,2001,18.9,59070,0.99,75
109.7,2375,32.7,120711,0.55,35
81.4,3981,53.2,169744,1.59,70
76.9,4650,37.5,46686,2.91,40
92.6,4060,59.0,47193,0.57,85
68.5,2480,10.1,80630,0.83,75
108.1,4435,53.4,91210,1.44,60
64.5,4878,40.0,125501,1.96,50
119.2,2444,55.8,44765,1.84,55
106.3,3977,45.1,177418,1.61,45
71.9,671,32.0,125890,2.24,40
60.3,2276,90.9,93095,2.55,80
108.9,1895,22.6,155559,3.0,15
102.4,1643,69.7,126584,1.45,60
103.7,3225,92.8,83764,2.99,55
106.3,3642,56.2,134996,2.22,25
64.4,1414,88.3,130530,2.01,65
81.5,2794,16.9,48469,1.96,55
67.0,4100,51.9,177010,2.74,50
111.8,909,48.4,152337,2.85,40
97.4,2661,5.8,16918,0.62,50
79.9,4827,47.1,40345,1.53,85
63.8,2477,40.1,139548,2.83,65
78.7,3402,68.6,40755,1.21,100
79.5,3086,94.1,10861,0.77,100
103.8,4345,13.2,192202,0.4,20
98.3,1394,36.1,91241,1.83,30
113.2,4614,47.2,106999,2.13,40
88.3,4953,48.2,171776,0.67,70
67.2,4007,78.6,193982,2.05,50
102.8,3056,47.1,160911,2.71,40
105.6,2451,7.6,57405,0.81,50
93.7,1574,72.5,87781,0.45,100
106.3,1647,89.1,54353,2.52,55
89.6,4966,53.8,18767,2.76,65
91.4,4837,60.2,57554,0.72,85
85.7,4389,20.5,125274,2.19,25
61.5,3621,26.0,112619,1.81,40
66.5,4969,27.3,139640,0.79,45
61.9,4629,45.9,173217,2.49,50
98.2,1064,93.2,158927,1.46,60
78.9,887,54.6,121652,2.13,65
90.5,3795,23.2,105366,0.97,60
114.5,1475,30.3,52650,2.47,30
75.0,2592,41.5,145451,0.87,85
84.6,3525,64.2,68383,1.16,85
105.3,1720,46.8,89578,1.24,75
73.7,1046,42.3,154902,0.7,85
64.6,3432,58.6,155539,2.64,65
77.4,4168,28.0,189202,0.43,45
69.7,3496,12.5,164572,1.73,60
115.8,1321,7.3,54215,2.46,30
108.5,2763,28.9,61212,1.78,50
98.0,3182,13.7,105617,1.05,50
112.3,1951,37.0,154692,2.37,15
108.2,4580,78.4,45577,1.55,60
71.2,3984,73.0,100462,0.57,85
113.6,2325,63.0,118352,1.02,75
92.4,1293,86.0,59999,1.82,80
108.4,4013,31.8,123958,2.01,5
113.8,1094,89.1,155267,1.69,60
79.1,1547,42.9,175326,0.89,85
66.6,622,43.1,64383,1.82,80
73.7,1728,43.5,159294,1.06,85
85.6,1157,14.3,135691,0.75,60
109.1,2216,97.7,116881,2.84,55
111.6,4330,18.2,32287,1.01,35
60.4,2256,37.4,58928,1.07,75
90.6,4773,35.3,129895,2.7,25
85.0,1406,12.1,183230,0.51,60
73.3,3912,19.5,20428,1.8,60
67.2,1053,9.3,197818,2.37,40
80.3,3575,32.8,142678,0.89,45
116.6,2924,87.3,51138,2.55,55
79.4,2047,37.2,125606,2.33,40
91.1,3161,16.8,89393,1.51,75
102.2,3111,66.3,18132,0.44,75
81.8,3471,99.7,81094,2.91,80
118.3,962,27.1,180981,1.91,15
117.7,4054,31.6,66454,1.6,35
75.1,3398,97.3,25695,2.67,80
89.8,4053,22.0,129598,1.32,45
78.1,3855,53.6,139969,1.73,70
77.1,1817,27.8,152385,2.59,40
62.2,2085,93.6,199469,1.24,85
96.6,2703,98.2,184718,2.34,40
90.2,3136,82.4,165647,0.84,85
63.1,2455,34.9,91511,2.14,55
76.7,1807,43.3,199257,1.58,85
114.5,2048,28.0,4423,0.58,50
74.4,2107,89.6,173652,0.49,85
68.7,1603,91.9,64806,1.43,100
89.4,1525,44.8,35210,2.16,80
119.1,683,67.4,2595,1.85,55
74.5,4342,20.7,177046,2.58,25
100.3,4527,46.3,176204,1.23,45
105.7,2142,65.0,69611,2.55,55
74.3,1585,41.6,75177,0.21,100
103.7,4831,39.0,85862,1.16,35
82.1,1508,5.1,34539,0.31,75
97.9,3508,81.4,54827,2.77,40
98.0,3337,89.5,50169,1.48,75
92.1,3186,97.1,101996,1.02,100
65.4,1743,73.3,61568,1.53,100
110.1,1931,57.1,156166,1.65,60
79.2,3948,30.6,42095,2.55,40
71.2,2153,99.9,84692,1.67,100
62.4,2942,61.0,140079,1.35,85
95.5,2406,69.7,181197,2.89,40
100.7,2700,69.8,173994,2.91,40
61.0,1405,85.3,60210,0.21,100
90.7,4747,5.9,190826,2.15,25
73.6,3375,25.9,13377,1.18,75
98.7,671,68.2,117790,2.06,55
70.5,627,90.0,122150,1.95,65
101.5,1068,70.1,132872,1.06,60
83.2,4583,44.3,17192,2.96,65
116.2,1363,39.3,185662,1.14,35
68.3,2024,75.1,37901,1.93,80
80.5,2848,75.4,969,2.46,80
66.8,4432,62.7,167919,0.52,70
115.5,4660,32.7,51031,0.97,35
112.6,4670,92.9,36087,0.68,60
75.5,2275,57.4,37473,2.37,80
99.6,1159,80.1,170451,2.42,40
109.0,4431,25.4,30655,0.84,35
93.3,2518,37.7,146331,0.11,60
91.8,678,88.1,65923,1.33,100
74.5,4247,9.8,45814,2.09,40
65.6,1631,53.7,68025,1.91,80
113.8,2672,50.8,107011,1.39,75
114.0,2084,76.4,184068,0.98,60
98.0,2845,31.8,68426,1.48,50
80.3,2150,25.8,176172,0.14,60
81.0,2429,93.0,66258,0.31,100
103.6,4351,59.3,8947,0.57,60
113.8,2631,14.9,166090,1.91,15
113.2,4456,23.3,106881,0.73,35
106.8,2782,99.9,65461,1.33,75
98.5,2694,23.6,22510,1.9,30
65.0,4503,63.0,105077,2.51,65
69.7,3632,44.9,142279,1.69,70
113.9,2148,89.1,146145,0.61,60
96.4,967,76.7,78183,2.86,55
60.6,664,61.7,139262,0.36,85
66.1,3899,6.0,36855,1.16,60
99.8,2635,88.6,37846,2.77,55
60.3,3463,47.2,139214,1.85,65
69.6,2476,93.5,92079,2.02,80
92.9,2828,52.1,52470,0.97,100
101.5,1196,71.0,107568,0.33,75
99.1,4206,11.6,192877,1.16,20
73.5,3274,75.8,79949,1.27,100
102.7,4489,37.1,768,0.88,35
74.2,4106,38.4,27255,0.72,60
79.5,2434,16.3,41946,1.13,75
104.8,1995,19.0,136629,1.95,15
99.0,2186,22.6,174391,2.85,15
111.0,711,36.2,93156,2.14,30
99.5,1052,89.7,18691,2.36,55
94.1,3403,40.0,99693,0.99,100
65.6,3231,73.8,185535,0.4,85
82.1,2786,12.9,141335,0.95,60
75.9,4948,61.2,183214,1.27,70
74.6,2604,50.8,78922,2.1,80
118.4,2059,97.9,108165,2.82,55
83.6,2542,85.4,25993,2.45,80
113.5,4093,48.2,114121,0.87,60
97.9,2457,78.6,104537,2.48,55
107.7,661,23.3,12324,1.29,50
90.2,2094,58.4,92981,0.61,100
94.6,1780,12.1,193504,1.44,60
89.6,3388,38.1,157234,1.73,60
71.7,2475,26.5,70203,2.31,55
103.3,2808,73.3,32383,1.11,75
76.8,705,51.6,151858,0.53,85
61.5,1754,76.4,186429,0.37,85
98.7,4028,54.0,162331,0.43,45
70.6,4687,13.2,179951,2.86,25
116.4,2308,74.9,162723,2.86,40
117.2,3423,84.2,61080,2.91,55
114.9,4525,90.8,74659,0.98,60
82.2,2508,59.3,170828,0.66,85
